,e_id,day,topic_id
0,0,2月18日,0
1,1,2月21日,0
2,2,2月16日,4
3,3,2月21日,0
4,4,2月11日,0
5,6,2月21日,0
6,8,2020年1月15日,2
7,8,2020年1月15日,2
8,8,2020年1月15日,2
9,10,1月17日,1
10,10,1月17日,1
11,10,1月17日,1
12,10,1月17日,1
13,10,1月17日,1
14,10,1月17日,1
15,12,1月24日,4
16,13,2月5日,5
17,19,2月8日,2
18,19,2月8日,2
19,20,2月17日,0
20,20,2月17日,0
21,20,2月17日,0
22,22,2月19日,2
23,23,2月21日,3
24,24,2月6日-16日,3
25,25,2月17日,1
26,27,2月20日,2
27,28,2月21日,1
28,30,2月19日,2
29,30,2月19日,2
30,30,2月19日,2
31,31,2月20日,3
32,32,1月29日-2月7日,5
33,35,1月14日,2
34,36,1月25日,0
35,37,1月26日,2
36,38,2月16日,0
37,39,2月15日,2
38,40,2月20日,0
39,43,2月10日,0
40,44,2月20日,4
41,46,1月25日,0
42,47,2月9日,0
43,48,2月20日,4
44,49,2019年12月7日,3
45,49,2019年12月7日,3
46,49,2019年12月7日,3
47,49,2019年12月7日,3
48,50,1月27日,3
49,55,2月4日、2月7日、2月13日,5
50,57,2月20日,4
51,58,2月20日,4
52,61,2月1日-17日,4
53,61,2月1日-17日,4
54,63,2月20日,0
55,65,2月16日,4
56,66,2月17日,4
57,67,2月18日,0
58,70,2月20日,2
59,71,2月21日,2
60,72,2月19日,3
61,73,2月19日,3
62,75,2月11日,3
63,75,2月11日,3
64,75,2月11日,3
65,75,2月11日,3
66,76,2月12日—2月17日,1
67,77,2月18日,5
68,79,1月22日,3
69,79,1月22日,3
70,80,1月23日-2月12日,1
71,81,2月11日,5
72,84,2月15日,4
73,86,2月6日,5
74,87,2月15日,5
75,88,2月16日,4
76,90,1月19日-20日,1
77,91,1月21日,1
78,93,1月23-25日,1
79,94,1月26-28日,1
80,95,1月29日-2月6日,1
81,96,2月7日,5
82,98,2月16日,4
83,100,1月24日,5
84,101,1月25日,1
85,102,1月26日,5
86,104,1月28日-2月1日,1
87,105,2月2日,3
88,106,2月3日,5
89,107,2月4日-13日,1
90,109,2月16日,4
91,112,1月21日,2
92,112,1月21日,2
93,112,1月21日,2
94,112,1月21日,2
95,112,1月21日,2
96,112,1月21日,2
97,112,1月21日,2
98,113,1月22日,3
99,114,1月23日-2月8日,0
100,115,2月9日,0
101,117,2月18日,4
102,118,1月20日,3
103,118,1月20日,3
104,118,1月20日,3
105,118,1月20日,3
106,118,1月20日,3
107,118,1月20日,3
108,119,1月21日-24日,1
109,120,1月25日-31日,1
110,121,2月1日-11日,0
111,122,2月12日,0
112,124,2月18日,4
113,125,1月29日-2月11日,1
114,127,2月16日,4
115,128,2019年10月17日,2
116,129,1月29日-2月10日,5
117,130,2月11-12日,0
118,131,2月12日,0
119,132,2月13日,5
120,135,2月19日,0
121,136,2019年10月17日,2
122,138,2月8日-11日,0
123,139,2月12日,5
124,141,2月14日-16日,1
125,143,2月19日,0
126,144,2019年10月17日,2
127,146,2月10日-11日,0
128,147,2月12日,5
129,149,2月14日-16日,1
130,151,2月19日,0
131,153,2月4日,1
132,154,2月5日,1
133,156,2月7日-8日,1
134,158,2月10日-15日,1
135,160,2月17日,0
136,161,2月18日,0
